iter	Logloss
0	0.6693583577
1	0.6477139008
2	0.628030331
3	0.6101154077
4	0.5929662391
5	0.5779215016
6	0.5635537711
7	0.5499281966
8	0.537432518
9	0.5261347604
10	0.5158017254
11	0.5057060019
12	0.4966583459
13	0.4880953169
14	0.4807266708
15	0.473552984
16	0.4671030309
17	0.4606843277
18	0.4552058945
19	0.4492992689
20	0.4439409032
21	0.4389497637
22	0.4346480056
23	0.4306448388
24	0.4265241492
25	0.4228412902
26	0.4193573119
27	0.4160587943
28	0.4129280643
29	0.4099001995
30	0.4071097682
31	0.4043702292
32	0.4018854653
33	0.3993758653
34	0.3971043262
35	0.3948935616
36	0.3929564998
37	0.3909427511
38	0.3891973895
39	0.3875007765
40	0.385906558
41	0.384509948
42	0.383010682
43	0.3817163272
44	0.380475967
45	0.379262517
46	0.3781763152
47	0.3771640466
48	0.3761616253
49	0.3751458709
50	0.3740434253
51	0.3730919138
52	0.372019777
53	0.3711592441
54	0.3703810452
55	0.3695687032
56	0.3687201613
57	0.3680214555
58	0.3673946263
59	0.3667363728
60	0.3661825009
61	0.3655205874
62	0.3649776259
63	0.3643694281
64	0.3638445926
65	0.3633160797
66	0.3628515481
67	0.3624389545
68	0.3620307356
69	0.3616249567
70	0.3611576714
71	0.3608498427
72	0.3604745295
73	0.360160775
74	0.3597599285
75	0.3594184621
76	0.3590822767
77	0.3588411484
78	0.3584713601
79	0.3581468869
80	0.357792436
81	0.3575437086
82	0.3572471216
83	0.3569938279
84	0.3567045958
85	0.3564370627
86	0.3562029233
87	0.3559449935
88	0.3557689097
89	0.3555588918
90	0.355310147
91	0.3550349801
92	0.3548768654
93	0.3546973132
94	0.3544483418
95	0.3542316662
96	0.3540577261
97	0.3538645619
98	0.3536669186
99	0.3534577199
100	0.3532980366
101	0.3531143364
102	0.3529525442
103	0.352720932
104	0.3525441858
105	0.3523488954
106	0.3521533784
107	0.3520032112
108	0.3518237985
109	0.3516535359
110	0.3515493984
111	0.351366709
112	0.3512264938
113	0.3510295301
114	0.3509164168
115	0.3507827897
116	0.3506489185
117	0.3505308903
118	0.3504389356
119	0.3503299529
120	0.3502196978
121	0.3500952209
122	0.3499537508
123	0.3498405677
124	0.3497413452
125	0.3496569372
126	0.3495457584
127	0.3494268587
128	0.3493299019
129	0.3492671057
130	0.3491970068
131	0.3491134179
132	0.3490168272
133	0.3489065373
134	0.3487909665
135	0.3487346189
136	0.34863144
137	0.348476846
138	0.3483455195
139	0.3482603795
140	0.3481707951
141	0.3480961995
142	0.3479716703
143	0.3478644305
144	0.3477603453
145	0.3476748915
146	0.3475981871
147	0.3475498743
148	0.3474708692
149	0.3474002649
150	0.3473024192
151	0.3472470128
152	0.347147616
153	0.3470970374
154	0.3470168821
155	0.3469638635
156	0.3469139298
157	0.3468255654
158	0.3467315541
159	0.3466544837
160	0.3465898574
161	0.3465275841
162	0.3464766569
163	0.3464196297
164	0.3463545154
165	0.3462822379
166	0.3462016817
167	0.3461531597
168	0.3460966728
169	0.3460331271
170	0.3459555512
171	0.3459097133
172	0.3458622545
173	0.3458136803
174	0.3457595636
175	0.3456799834
176	0.3456301891
177	0.3455485872
178	0.3454828804
179	0.345395492
180	0.3453230402
181	0.3452733157
182	0.3452000796
183	0.345130643
184	0.3450523351
185	0.3450015473
186	0.3449318144
187	0.3448912923
188	0.3448336028
189	0.3447925055
190	0.3447422929
191	0.3447172999
192	0.3446466607
193	0.3445972673
194	0.3445478216
195	0.3444930079
196	0.3444503768
197	0.3444047481
198	0.3443564875
199	0.3443102313
200	0.3442544067
201	0.3442094925
202	0.3441584607
203	0.3441317423
204	0.3440640311
205	0.344003065
206	0.3439352144
207	0.3438830847
208	0.3438148158
209	0.343793448
210	0.3437594617
211	0.3437058679
212	0.3436483004
213	0.343590454
214	0.3435563805
215	0.3435081897
216	0.3434632755
217	0.3433945186
218	0.3433496567
219	0.3433090649
220	0.3432748869
221	0.3432341382
222	0.3431823745
223	0.3431280661
224	0.3430701674
225	0.3430304993
226	0.3429804262
227	0.3429589364
228	0.3429145277
229	0.3428644197
230	0.3428323505
231	0.3427805868
232	0.3427590273
233	0.3427080827
234	0.3426846409
235	0.3426580967
236	0.3426098013
237	0.3425897581
238	0.3425521815
239	0.3424989189
240	0.3424636777
241	0.3424409505
242	0.3423942237
243	0.3423794963
244	0.342337911
245	0.3423066785
246	0.3422774328
247	0.3422391416
248	0.3422052948
249	0.3421800578
250	0.3421386991
251	0.3420818287
252	0.3420561385
253	0.34202515
254	0.3419859002
255	0.3419502582
256	0.3418838193
257	0.3418690396
258	0.341839794
259	0.3417826622
260	0.341756972
261	0.3417198485
262	0.3416694442
263	0.3416337674
264	0.3415778556
265	0.3415397735
266	0.3415079135
267	0.3414789642
268	0.3414484288
269	0.3414138673
270	0.3413903209
271	0.3413751404
272	0.3413371978
273	0.341309939
274	0.3412701663
275	0.3412261933
276	0.3412083113
277	0.341188791
278	0.3411347963
279	0.3410837646
280	0.3410773856
281	0.3410320532
282	0.341017134
283	0.3409884287
284	0.3409494752
285	0.3409228613
286	0.3408732587
287	0.340852867
288	0.340819543
289	0.3407856438
290	0.3407436577
291	0.3407093925
292	0.3406827264
293	0.3406351456
294	0.3405883839
295	0.3405751031
296	0.3405319318
297	0.3405076883
298	0.3404692227
299	0.3404472798
300	0.3404057817
301	0.3403879868
302	0.340365887
303	0.3403376348
304	0.3402862022
305	0.3402639978
306	0.340232469
307	0.3402143953
308	0.3402021254
309	0.3401865614
310	0.3401630673
311	0.340130301
312	0.340106772
313	0.3400823368
314	0.3400542589
315	0.3400406992
316	0.3400162639
317	0.3399895106
318	0.3399458339
319	0.3399104184
320	0.3398751772
321	0.339855012
322	0.3398259407
323	0.3398070129
324	0.3397845471
325	0.3397538898
326	0.3397324
327	0.339700662
328	0.3396644448
329	0.3396320097
330	0.3396044721
331	0.3395861369
332	0.3395576581
333	0.3395049881
334	0.3394697818
335	0.3394204232
336	0.339382498
337	0.3393344641
338	0.3393063165
339	0.3392760251
340	0.3392589971
341	0.3392346315
342	0.3392006627
343	0.3391569336
344	0.3391332652
345	0.3390974838
346	0.3390728393
347	0.3390492755
348	0.3390156552
349	0.3389861133
350	0.3389502621
351	0.3389262103
352	0.3388921891
353	0.3388672659
354	0.3388546822
355	0.3388330007
356	0.3388103083
357	0.3387708668
358	0.3387532288
359	0.3387258829
360	0.3387100923
361	0.3386711214
362	0.3386461633
363	0.3386176148
364	0.3386091269
365	0.3385890489
366	0.338558252
367	0.3385261829
368	0.3385007542
369	0.3384806936
370	0.338454864
371	0.338421296
372	0.3383962507
373	0.3383692534
374	0.3383410361
375	0.3382997297
376	0.338270728
377	0.3382298573
378	0.3382006988
379	0.3381719586
380	0.3381436367
381	0.3380950625
382	0.3380801608
383	0.3380630805
384	0.3380325451
385	0.3380025152
386	0.3379622545
387	0.3379313008
388	0.3379008352
389	0.3378795023
390	0.3378620037
391	0.3378274422
392	0.3378031812
393	0.3377844104
394	0.3377489949
395	0.3377118017
396	0.3376860593
397	0.3376515152
398	0.3376256159
399	0.3376065836
400	0.3375883182
401	0.3375665669
402	0.3375253477
403	0.3374962763
404	0.3374702899
405	0.3374407828
406	0.3374256894
407	0.3374018641
408	0.3373600697
409	0.3373457258
410	0.3373179093
411	0.337285143
412	0.3372512962
413	0.3372110355
414	0.3371866874
415	0.3371588012
416	0.3371279346
417	0.3370894691
418	0.3370698268
419	0.3370435266
420	0.3370146819
421	0.336970552
422	0.3369416549
423	0.3369064835
424	0.336877691
425	0.3368339619
426	0.3368164285
427	0.3368039843
428	0.3367960716
429	0.3367868517
430	0.3367547129
431	0.3367083695
432	0.3366763353
433	0.336659011
434	0.3366535906
435	0.336637312
436	0.336612441
437	0.3365996657
438	0.3365617928
439	0.3365495403
440	0.3365064735
441	0.3364532458
442	0.3364174643
443	0.3363892993
444	0.3363793648
445	0.3363509209
446	0.3363206295
447	0.3362951137
448	0.3362762382
449	0.3362583562
450	0.3362176946
451	0.3362008061
452	0.3361687369
453	0.3361457483
454	0.3361189601
455	0.3360838061
456	0.3360557456
457	0.3360168967
458	0.3359835204
459	0.3359608803
460	0.3359288286
461	0.3359005241
462	0.3358629649
463	0.3358349219
464	0.3358095454
465	0.3357617903
466	0.3357390631
467	0.3357043274
468	0.3356895825
469	0.3356540451
470	0.3356342285
471	0.335599179
472	0.3355819593
473	0.3355575937
474	0.3355287838
475	0.33548929
476	0.3354566283
477	0.3354341451
478	0.3353937798
479	0.3353775535
480	0.3353356894
481	0.3353111495
482	0.3352722657
483	0.3352479002
484	0.3352227329
485	0.3351988902
486	0.3351657231
487	0.335144913
488	0.3351067438
489	0.3350797116
490	0.3350731409
491	0.3350376558
492	0.3350186409
493	0.3349795828
494	0.3349463982
495	0.3349167866
496	0.3349072181
497	0.3348861989
498	0.3348546178
499	0.3348040392
500	0.3347716738
501	0.3347458791
502	0.3347193175
503	0.3347033701
504	0.3346697498
505	0.3346478069
506	0.3346170972
507	0.334582588
508	0.3345531855
509	0.3345227547
510	0.3344913479
511	0.3344695967
512	0.334451767
513	0.3344233231
514	0.3344040119
515	0.3343719079
516	0.3343418954
517	0.334309042
518	0.3342671778
519	0.3342250174
520	0.3341972532
521	0.3341767743
522	0.3341539773
523	0.334109342
524	0.3340841399
525	0.3340682622
526	0.3340433738
527	0.3340135704
528	0.3339939803
529	0.3339707477
530	0.3339452144
531	0.3339202911
532	0.3338790893
533	0.3338499656
534	0.333829173
535	0.3338051909
536	0.3337726163
537	0.3337447475
538	0.3337440155
539	0.333727493
540	0.3336857857
541	0.3336467102
542	0.333626301
543	0.3336007328
544	0.3335807768
545	0.3335576835
546	0.3335431653
547	0.3335066518
548	0.3334790096
549	0.3334528663
550	0.333428553
551	0.3334094161
552	0.3333805365
553	0.3333617656
554	0.3333428727
555	0.3333107513
556	0.3332924859
557	0.3332744993
558	0.3332287485
559	0.3332059167
560	0.3331860478
561	0.3331722964
562	0.3331290205
563	0.333095592
564	0.3330793308
565	0.333028212
566	0.3329951668
567	0.3329744091
568	0.3329461743
569	0.3329256605
570	0.3328955086
571	0.3328673087
572	0.3328411131
573	0.3328066562
574	0.3327926783
575	0.3327671275
576	0.3327488447
577	0.3327223528
578	0.3327048891
579	0.3326724016
580	0.3326632341
