iter	Passed	Remaining
0	18	13037
1	34	12071
2	50	11713
3	66	11601
4	83	11547
5	112	12992
6	136	13483
7	152	13159
8	168	12905
9	184	12740
10	201	12597
11	218	12518
12	234	12390
13	251	12307
14	267	12222
15	284	12141
16	300	12062
17	316	11987
18	332	11931
19	349	11893
20	366	11836
21	383	11828
22	400	11785
23	417	11753
24	433	11697
25	449	11655
26	465	11607
27	482	11580
28	499	11552
29	515	11513
30	531	11467
31	547	11428
32	563	11394
33	579	11354
34	595	11319
35	612	11289
36	628	11259
37	644	11221
38	660	11192
39	676	11155
40	692	11129
41	708	11100
42	725	11088
43	741	11057
44	757	11028
45	772	10985
46	788	10954
47	804	10927
48	821	10909
49	837	10882
50	853	10855
51	869	10833
52	884	10801
53	902	10798
54	922	10816
55	938	10793
56	953	10760
57	970	10746
58	986	10719
59	1002	10689
60	1018	10666
61	1033	10635
62	1049	10609
63	1065	10585
64	1080	10559
65	1097	10539
66	1112	10513
67	1132	10525
68	1152	10542
69	1175	10577
70	1193	10569
71	1209	10547
72	1224	10521
73	1240	10494
74	1256	10469
75	1271	10440
76	1287	10417
77	1304	10400
78	1320	10377
79	1335	10351
80	1351	10325
81	1368	10311
82	1383	10287
83	1399	10262
84	1414	10232
85	1430	10209
86	1445	10187
87	1462	10169
88	1478	10148
89	1494	10129
90	1509	10103
91	1525	10082
92	1541	10060
93	1556	10035
94	1571	10006
95	1586	9980
96	1602	9962
97	1618	9942
98	1634	9921
99	1650	9900
100	1666	9883
101	1682	9863
102	1697	9837
103	1712	9814
104	1728	9795
105	1744	9777
106	1760	9756
107	1776	9735
108	1791	9713
109	1806	9690
110	1821	9667
111	1836	9642
112	1851	9618
113	1866	9595
114	1882	9578
115	1900	9565
116	1919	9562
117	1934	9541
118	1950	9521
119	1967	9510
120	1982	9488
121	1998	9469
122	2014	9452
123	2029	9429
124	2045	9407
125	2059	9382
126	2075	9362
127	2090	9343
128	2106	9325
129	2122	9304
130	2137	9285
131	2152	9264
132	2168	9244
133	2188	9242
134	2207	9239
135	2233	9260
136	2248	9239
137	2263	9219
138	2279	9199
139	2294	9178
140	2319	9195
141	2360	9277
142	2398	9342
143	2432	9392
144	2469	9451
145	2506	9510
146	2547	9584
147	2586	9647
148	2627	9715
149	2669	9789
150	2705	9838
151	2742	9887
152	2781	9945
153	2822	10006
154	2862	10063
155	2909	10144
156	2949	10200
157	2988	10252
158	3027	10299
159	3067	10354
160	3106	10398
161	3145	10446
162	3183	10489
163	3230	10556
164	3269	10601
165	3310	10650
166	3336	10647
167	3376	10691
168	3402	10689
169	3426	10681
170	3450	10673
171	3474	10667
172	3500	10663
173	3526	10661
174	3551	10653
175	3575	10644
176	3599	10634
177	3624	10629
178	3656	10641
179	3680	10633
180	3719	10664
181	3747	10666
182	3784	10691
183	3828	10737
184	3867	10767
185	3907	10799
186	3931	10785
187	3953	10765
188	3977	10754
189	4005	10752
190	4049	10791
191	4083	10803
192	4123	10832
193	4167	10870
194	4203	10886
195	4246	10918
196	4285	10941
197	4317	10947
198	4356	10967
199	4383	10959
200	4412	10954
201	4448	10967
202	4495	11005
203	4532	11019
204	4577	11051
205	4620	11080
206	4650	11076
207	4666	11039
208	4683	11001
209	4697	10961
210	4713	10923
211	4729	10886
212	4744	10847
213	4759	10809
214	4774	10771
215	4790	10734
216	4806	10698
217	4821	10661
218	4837	10623
219	4852	10587
220	4868	10551
221	4885	10519
222	4903	10488
223	4926	10468
224	4946	10441
225	4971	10426
226	5009	10438
227	5023	10400
228	5040	10366
229	5056	10332
230	5072	10298
231	5089	10267
232	5105	10233
233	5121	10199
234	5137	10166
235	5154	10133
236	5170	10101
237	5186	10068
238	5203	10036
239	5220	10005
240	5235	9970
241	5250	9937
242	5266	9903
243	5281	9869
244	5297	9837
245	5311	9802
246	5326	9769
247	5341	9735
248	5357	9702
249	5377	9678
250	5403	9665
251	5424	9644
252	5440	9611
253	5455	9579
254	5471	9548
255	5486	9515
256	5502	9485
257	5517	9452
258	5533	9421
259	5549	9390
260	5563	9358
261	5579	9326
262	5594	9295
263	5609	9264
264	5624	9233
265	5639	9201
266	5654	9170
267	5669	9138
268	5684	9108
269	5700	9079
270	5716	9048
271	5730	9017
272	5745	8987
273	5760	8956
274	5776	8927
275	5793	8899
276	5808	8870
277	5822	8839
278	5839	8812
279	5856	8784
280	5872	8756
281	5889	8729
282	5904	8699
283	5920	8672
284	5939	8648
285	5954	8619
286	5973	8595
287	5987	8565
288	6003	8537
289	6018	8509
290	6034	8481
291	6050	8454
292	6066	8426
293	6082	8399
294	6098	8372
295	6114	8345
296	6130	8318
297	6145	8290
298	6161	8263
299	6176	8235
300	6194	8211
301	6210	8184
302	6227	8158
303	6243	8132
304	6260	8107
305	6275	8080
306	6291	8054
307	6307	8027
308	6321	7999
309	6337	7972
310	6354	7948
311	6370	7922
312	6385	7895
313	6402	7870
314	6432	7861
315	6452	7841
316	6468	7814
317	6484	7789
318	6500	7764
319	6515	7737
320	6531	7711
321	6546	7685
322	6562	7660
323	6577	7632
324	6592	7607
325	6609	7582
326	6623	7555
327	6638	7529
328	6653	7502
329	6668	7477
330	6684	7451
331	6699	7426
332	6715	7400
333	6730	7375
334	6747	7351
335	6762	7325
336	6778	7301
337	6795	7278
338	6811	7253
339	6826	7228
340	6841	7202
341	6856	7177
342	6872	7153
343	6889	7129
344	6905	7105
345	6920	7080
346	6938	7058
347	6953	7033
348	6970	7010
349	6985	6985
350	7001	6961
351	7014	6935
352	7030	6910
353	7045	6886
354	7059	6861
355	7075	6836
356	7089	6811
357	7104	6787
358	7119	6762
359	7134	6738
360	7149	6713
361	7164	6689
362	7180	6665
363	7194	6641
364	7209	6616
365	7224	6592
366	7239	6568
367	7254	6544
368	7268	6520
369	7283	6496
370	7297	6471
371	7313	6448
372	7328	6424
373	7345	6402
374	7360	6379
375	7376	6356
376	7392	6333
377	7407	6310
378	7423	6287
379	7438	6263
380	7473	6257
381	7488	6234
382	7502	6209
383	7517	6186
384	7532	6163
385	7547	6139
386	7563	6117
387	7578	6094
388	7593	6070
389	7609	6048
390	7623	6024
391	7638	6002
392	7654	5979
393	7670	5957
394	7684	5933
395	7702	5912
396	7717	5889
397	7732	5867
398	7747	5844
399	7761	5821
400	7775	5797
401	7790	5774
402	7805	5752
403	7820	5729
404	7835	5707
405	7851	5685
406	7866	5663
407	7881	5640
408	7896	5618
409	7910	5595
410	7925	5572
411	7942	5551
412	7957	5529
413	7974	5508
414	7989	5487
415	8004	5464
416	8019	5442
417	8034	5420
418	8048	5397
419	8063	5375
420	8077	5353
421	8093	5331
422	8107	5308
423	8121	5286
424	8135	5264
425	8150	5242
426	8164	5219
427	8178	5197
428	8192	5175
429	8206	5152
430	8220	5130
431	8235	5109
432	8250	5087
433	8264	5065
434	8278	5043
435	8292	5020
436	8306	4999
437	8320	4976
438	8334	4955
439	8350	4934
440	8365	4913
441	8382	4892
442	8396	4871
443	8411	4849
444	8425	4828
445	8440	4806
446	8455	4785
447	8475	4767
448	8502	4752
449	8516	4731
450	8530	4710
451	8544	4688
452	8558	4666
453	8572	4645
454	8587	4624
455	8603	4603
456	8618	4582
457	8635	4562
458	8651	4542
459	8665	4521
460	8681	4500
461	8696	4479
462	8711	4459
463	8726	4438
464	8741	4417
465	8756	4396
466	8770	4375
467	8785	4355
